HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:46:00, Open: 15.94, High: 15.95, Low: 15.91, Close: 15.92, Volume: 326, Count: 93, WAP: 15.9325
HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:46:00, Open: 15.94, High: 15.95, Low: 15.91, Close: 15.92, Volume: 326, Count: 93, WAP: 15.9325
HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:46:00, Open: 15.94, High: 15.95, Low: 15.91, Close: 15.93, Volume: 333, Count: 100, WAP: 15.9324
HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:46:00, Open: 15.94, High: 15.95, Low: 15.91, Close: 15.94, Volume: 346, Count: 104, WAP: 15.9327
HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:46:00, Open: 15.94, High: 15.95, Low: 15.91, Close: 15.94, Volume: 351, Count: 106, WAP: 15.9328
HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:47:00, Open: 15.93, High: 15.94, Low: 15.93, Close: 15.94, Volume: 70, Count: 13, WAP: 15.9364
AMD: - Date: 20180706  08:46:00, Open: 15.94, High: 15.95, Low: 15.91, Close: 15.94, Volume: 351, Count: 106, WAP: 15.9328
HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:47:00, Open: 15.93, High: 15.94, Low: 15.93, Close: 15.93, Volume: 119, Count: 19, WAP: 15.9338
HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:47:00, Open: 15.93, High: 15.94, Low: 15.92, Close: 15.92, Volume: 134, Count: 27, WAP: 15.9322
HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:47:00, Open: 15.93, High: 15.94, Low: 15.91, Close: 15.91, Volume: 170, Count: 35, WAP: 15.9275
HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:47:00, Open: 15.93, High: 15.94, Low: 15.91, Close: 15.92, Volume: 189, Count: 44, WAP: 15.9267
HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:47:00, Open: 15.93, High: 15.94, Low: 15.9, Close: 15.92, Volume: 223, Count: 55, WAP: 15.9242
HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:47:00, Open: 15.93, High: 15.94, Low: 15.9, Close: 15.91, Volume: 333, Count: 83, WAP: 15.924
HistoricalDataUpdate. ReqId: 1 - Date: 20180706  08:47:00, Open: 15.93, High: 15.94, Low: 15.9, Close: 15.9, Volume: 384, Count: 85, WAP: 15.9215
